Epoch	Time(sec)	Loss_train	Loss_val	pearson	MAE	MSE	RMSE	r2
1	707.0136584639549	7.2867350578308105	8.577742576599121	-0.242841437458992	2.082778	8.577743	2.928778342005267	-0.2913018946177164
2	1413.657009370625	6.7875752449035645	7.156469821929932	-0.17869463562965393	1.8878465	7.156469	2.6751577277341267	-0.07734197570770496
3	2169.6496074218303	6.339953422546387	6.76287317276001	-0.04670931026339531	1.8582838	6.762873	2.600552474525367	-0.018089574540869124
4	2921.2692944817245	6.238674640655518	6.675842761993408	0.031206561252474785	1.8495889	6.675843	2.583765229658726	-0.0049879601738922474
5	3722.842886129394	6.227142810821533	6.637224197387695	0.08550700545310974	1.8432695	6.6372237	2.5762809863348637	0.0008257491874670286
6	4520.999150656164	5.923471927642822	6.543442249298096	0.15777958929538727	1.8394852	6.5434403	2.558014922151445	0.014943941615170653
7	5362.908724548295	6.000263690948486	6.535719394683838	0.17478299140930176	1.8312055	6.535719	2.5565052156893167	0.016106337711934038
8	6234.926622277126	6.094959735870361	6.506349563598633	0.1981813758611679	1.828777	6.506349	2.550754611239873	0.02052776026844627
9	7095.657964389771	5.96673583984375	6.420529365539551	0.26046791672706604	1.8166115	6.4205294	2.533876351667451	0.03344711208968376
10	7968.6461439635605	5.8917646408081055	6.350123405456543	0.28703808784484863	1.810366	6.350123	2.5199450249200646	0.044046198954275195
11	8870.53922861442	6.022426605224609	6.313384056091309	0.3058091104030609	1.7920626	6.3133836	2.5126447379711583	0.04957694472712748
12	9749.391715770587	5.838041305541992	6.205445289611816	0.31095024943351746	1.7836416	6.205445	2.491073024376174	0.065826123167952
13	10675.049772139639	5.967419147491455	6.14373779296875	0.3251604437828064	1.7741419	6.1437383	2.4786565453499017	0.07511556950917797
21	18113.99366492033	5.9074387550354	5.973341941833496	0.34240880608558655	1.7335628	5.9733415	2.444042034212247	0.10076723181720426
23	19986.327306499705	5.5955681800842285	5.88836669921875	0.34579119086265564	1.6945009	5.8883667	2.4265957016402115	0.11355948982898145
24	20958.83204744011	5.443594455718994	5.856751441955566	0.34871095418930054	1.6792359	5.856752	2.42007270940208	0.11831879902281361
25	21900.59457590431	5.531020164489746	5.818176746368408	0.3559616506099701	1.6685296	5.8181767	2.4120897052904993	0.12412589461234624
28	24713.03838874586	5.246914863586426	5.713181018829346	0.37818434834480286	1.6296645	5.7131815	2.390226243615132	0.13993208746483998
